Feature,Importance
PM2.5,0.46977224763193787
PM10,0.13793839733388882
CO,0.10277144258734792
SO2,0.04373908447126259
O3,0.041705682448916724
NH3,0.038462068869356374
NO2,0.03161273914200393
Xylene,0.030396074561711558
NOx,0.029632992486031365
Toluene,0.02693240562535008
NO,0.025581742446819263
Benzene,0.02145512239537346
