Model,MAE,RMSE,R2 Score
Linear Regression,58.85725225237797,91.84509039868,0.5738893342913314
Decision Tree,55.270468769280484,103.62397771955798,0.45758582403007775
Random Forest,46.81158442386994,82.73281369323291,0.6542468843274825
Gradient Boosting,49.0773383414831,82.76854810811336,0.6539481406244317
